;BRKGA;BRKGACS;GA;GRASP;ILS;LNS;PSO;RKO;SA;VNS
BRKGA;1.0;1.680295787277147e-07;1.7085612352212428e-05;1.8291611376974554e-07;1.8291611376974554e-07;7.179132972773411e-08;0.001020673044404906;2.4770276393652366e-07;3.856406788798386e-06;2.562581997096029e-07
BRKGACS;1.680295787277147e-07;1.0;2.950927382435478e-07;2.3225415872209234e-05;5.596806639870124e-05;0.052410722969981435;1.7128831011316128e-07;1.680295787277147e-07;0.005992687314858607;0.00016911500225750582
GA;1.7085612352212428e-05;2.950927382435478e-07;1.0;1.0660811571639661e-07;1.15434256485932e-07;1.4758790864130068e-06;0.7167319204928477;7.739732463297963e-08;3.0121690707513427e-05;2.0029258667266006e-07
GRASP;1.8291611376974554e-07;2.3225415872209234e-05;1.0660811571639661e-07;1.0;0.22097248719684515;2.747053505261905e-06;1.46364686901271e-07;1.680295787277147e-07;3.186777746432028e-07;0.04833683244085744
ILS;1.8291611376974554e-07;5.596806639870124e-05;1.15434256485932e-07;0.22097248719684515;1.0;1.952720458187079e-05;2.0029258667266006e-07;1.680295787277147e-07;6.79862776734755e-07;0.6260806935438181
LNS;7.179132972773411e-08;0.052410722969981435;1.4758790864130068e-06;2.747053505261905e-06;1.952720458187079e-05;1.0;1.4608849596697837e-07;5.255295360476943e-08;0.07033917775879672;9.092972735319159e-06
PSO;0.001020673044404906;1.7128831011316128e-07;0.7167319204928477;1.46364686901271e-07;2.0029258667266006e-07;1.4608849596697837e-07;1.0;1.140214479510659e-07;0.00016765864938591066;3.186777746432028e-07
RKO;2.4770276393652366e-07;1.680295787277147e-07;7.739732463297963e-08;1.680295787277147e-07;1.680295787277147e-07;5.255295360476943e-08;1.140214479510659e-07;1.0;1.140214479510659e-07;1.6795621714783797e-07
SA;3.856406788798386e-06;0.005992687314858607;3.0121690707513427e-05;3.186777746432028e-07;6.79862776734755e-07;0.07033917775879672;0.00016765864938591066;1.140214479510659e-07;1.0;2.7122759406037518e-06
VNS;2.562581997096029e-07;0.00016911500225750582;2.0029258667266006e-07;0.04833683244085744;0.6260806935438181;9.092972735319159e-06;3.186777746432028e-07;1.6795621714783797e-07;2.7122759406037518e-06;1.0
