;BRKGA;BRKGACS;GA;GRASP;ILS;LNS;PSO;RKO;SA;VNS
BRKGA;0.0;1.0;1.0;1.0;1.0;1.0;1.0;-1.0;1.0;1.0
BRKGACS;-1.0;0.0;-1.0;1.0;1.0;0.0;-1.0;-1.0;-1.0;1.0
GA;-1.0;1.0;0.0;1.0;1.0;1.0;0.0;-1.0;1.0;1.0
GRASP;-1.0;-1.0;-1.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0
ILS;-1.0;-1.0;-1.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;0.0
LNS;-1.0;0.0;-1.0;1.0;1.0;0.0;-1.0;-1.0;0.0;1.0
PSO;-1.0;1.0;0.0;1.0;1.0;1.0;0.0;-1.0;1.0;1.0
RKO;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0
SA;-1.0;1.0;-1.0;1.0;1.0;0.0;-1.0;-1.0;0.0;1.0
VNS;-1.0;-1.0;-1.0;1.0;0.0;-1.0;-1.0;-1.0;-1.0;0.0
