Instancia;Metaheuristica;Estrategia;Out;Melhor;Media;TempoMelhor;TempoTotal;;;
../Instances/TSP/eil51.tsp;SA;1;426;426;426;4.186;10.001;;;
../Instances/TSP/berlin52.tsp;SA;1;7542;7542;7542;0.009;10.001;;;
../Instances/TSP/st70.tsp;SA;1;675;675;675;0.162;10.001;;;
../Instances/TSP/eil76.tsp;SA;1;538;538;538;3.512;10.002;;;
../Instances/TSP/pr76.tsp;SA;1;108159;108159;108159;0.043;10.003;;;
../Instances/TSP/rat99.tsp;SA;1;1211;1211;1211;0.4;10.003;;;
../Instances/TSP/kroA100.tsp;SA;1;21282;21282;21282;0.459;10.009;;;
../Instances/TSP/kroB100.tsp;SA;1;22199;22199;22199;0.07;10.002;;;
../Instances/TSP/kroC100.tsp;SA;1;20749;20749;20749;0.294;10.001;;;
../Instances/TSP/kroD100.tsp;SA;1;21294;21294;21294;0.157;10.003;;;
../Instances/TSP/kroE100.tsp;SA;1;22068;22068;22068;3.442;10.002;;;
../Instances/TSP/rd100.tsp;SA;1;7910;7910;7910;4.036;10.003;;;
../Instances/TSP/eil101.tsp;SA;1;629;629;629;4.946;10.007;;;
../Instances/TSP/lin105.tsp;SA;1;14379;14379;14379;0.188;10.002;;;
../Instances/TSP/pr107.tsp;SA;1;44303;44303;44303;0.665;10.006;;;
../Instances/TSP/pr124.tsp;SA;1;59030;59030;59030;0.015;10.005;;;
../Instances/TSP/ch130.tsp;SA;1;6110;6110;6110;2.55;10.007;;;
../Instances/TSP/pr136.tsp;SA;1;96772;96772;96772;6.431;10;;;
../Instances/TSP/pr144.tsp;SA;1;58537;58537;58537;0.094;10.004;;;
../Instances/TSP/ch150.tsp;SA;1;6554;6554;6554;2.855;10.002;;;
../Instances/TSP/kroA150.tsp;SA;1;26525;26525;26525;7.067;10.011;;;
../Instances/TSP/kroB150.tsp;SA;1;26130;26130;26130;8.034;10.006;;;
../Instances/TSP/pr152.tsp;SA;1;73682;73682;73682;1.084;10.012;;;
../Instances/TSP/u159.tsp;SA;1;42080;42080;42080;0.252;10.016;;;
../Instances/TSP/rat195.tsp;SA;1;2366;2366;2366;5.526;10.003;;;
../Instances/TSP/d198.tsp;SA;1;15800;15800;15800;2.667;10.017;;;
../Instances/TSP/kroA200.tsp;SA;1;29481;29481;29481;5.367;10.009;;;
../Instances/TSP/kroB200.tsp;SA;1;29488;29488;29488;4.981;10.002;;;
../Instances/TSP/ts225.tsp;SA;1;126643;126643;126643;4.292;10.019;;;
../Instances/TSP/tsp225.tsp;SA;1;3973;3973;3973;6.481;10.054;;;
../Instances/TSP/eil51.tsp;ILS;1;426;426;426;0.585;10.005;;;
../Instances/TSP/berlin52.tsp;ILS;1;7542;7542;7542;0.013;10.005;;;
../Instances/TSP/st70.tsp;ILS;1;675;675;675;0.034;10.017;;;
../Instances/TSP/eil76.tsp;ILS;1;540;540;540;6.6;10.002;;;
../Instances/TSP/pr76.tsp;ILS;1;108159;108159;108159;0.478;10.022;;;
../Instances/TSP/rat99.tsp;ILS;1;1211;1211;1211;1.452;10.13;;;
../Instances/TSP/kroA100.tsp;ILS;1;21282;21282;21282;0.127;10.014;;;
../Instances/TSP/kroB100.tsp;ILS;1;22141;22141;22141;7.818;10.059;;;
../Instances/TSP/kroC100.tsp;ILS;1;20749;20749;20749;0.722;10.017;;;
../Instances/TSP/kroD100.tsp;ILS;1;21294;21294;21294;0.078;10.007;;;
../Instances/TSP/kroE100.tsp;ILS;1;22068;22068;22068;0.272;10.079;;;
../Instances/TSP/rd100.tsp;ILS;1;7910;7910;7910;0.353;10.099;;;
../Instances/TSP/eil101.tsp;ILS;1;629;629;629;4.721;10.072;;;
../Instances/TSP/lin105.tsp;ILS;1;14379;14379;14379;0.686;10.02;;;
../Instances/TSP/pr107.tsp;ILS;1;44303;44303;44303;0.277;10.049;;;
../Instances/TSP/pr124.tsp;ILS;1;59030;59030;59030;0.259;10.147;;;
../Instances/TSP/ch130.tsp;ILS;1;6110;6110;6110;2.092;10.028;;;
../Instances/TSP/pr136.tsp;ILS;1;96772;96772;96772;2.332;10.322;;;
../Instances/TSP/pr144.tsp;ILS;1;58537;58537;58537;6.181;10.191;;;
../Instances/TSP/ch150.tsp;ILS;1;6564;6564;6564;4.809;10.24;;;
../Instances/TSP/kroA150.tsp;ILS;1;26524;26524;26524;8.139;10.569;;;
../Instances/TSP/kroB150.tsp;ILS;1;26141;26141;26141;10.065;10.065;;;
../Instances/TSP/pr152.tsp;ILS;1;73818;73818;73818;1.168;10.113;;;
../Instances/TSP/u159.tsp;ILS;1;42080;42080;42080;0.763;10.666;;;
../Instances/TSP/rat195.tsp;ILS;1;2364;2364;2364;11.865;11.865;;;
../Instances/TSP/d198.tsp;ILS;1;15803;15803;15803;8.941;10.583;;;
../Instances/TSP/kroA200.tsp;ILS;1;29481;29481;29481;2.726;11.477;;;
../Instances/TSP/kroB200.tsp;ILS;1;29665;29665;29665;9.677;10.668;;;
../Instances/TSP/ts225.tsp;ILS;1;126962;126962;126962;3.093;11.064;;;
../Instances/TSP/tsp225.tsp;ILS;1;3967;3967;3967;12.85;12.85;;;
../Instances/TSP/eil51.tsp;VNS;1;426;426;426;0.329;10.014;;;
../Instances/TSP/berlin52.tsp;VNS;1;7542;7542;7542;0.05;10.005;;;
../Instances/TSP/st70.tsp;VNS;1;675;675;675;0.034;10.044;;;
../Instances/TSP/eil76.tsp;VNS;1;538;538;538;2.426;10.023;;;
../Instances/TSP/pr76.tsp;VNS;1;108159;108159;108159;0.063;10.004;;;
../Instances/TSP/rat99.tsp;VNS;1;1211;1211;1211;0.209;10.037;;;
../Instances/TSP/kroA100.tsp;VNS;1;21282;21282;21282;0.23;10.087;;;
../Instances/TSP/kroB100.tsp;VNS;1;22199;22199;22199;0.119;10.031;;;
../Instances/TSP/kroC100.tsp;VNS;1;20749;20749;20749;0.4;10.012;;;
../Instances/TSP/kroD100.tsp;VNS;1;21294;21294;21294;0.363;10.005;;;
../Instances/TSP/kroE100.tsp;VNS;1;22106;22106;22106;0.492;10.082;;;
../Instances/TSP/rd100.tsp;VNS;1;7910;7910;7910;2.565;10.158;;;
../Instances/TSP/eil101.tsp;VNS;1;629;629;629;2.757;10.083;;;
../Instances/TSP/lin105.tsp;VNS;1;14379;14379;14379;0.214;10.004;;;
../Instances/TSP/pr107.tsp;VNS;1;44303;44303;44303;0.679;10.041;;;
../Instances/TSP/pr124.tsp;VNS;1;59030;59030;59030;0.675;10.183;;;
../Instances/TSP/ch130.tsp;VNS;1;6110;6110;6110;1.02;10.18;;;
../Instances/TSP/pr136.tsp;VNS;1;96772;96772;96772;3.613;10.132;;;
../Instances/TSP/pr144.tsp;VNS;1;58537;58537;58537;1.378;10.163;;;
../Instances/TSP/ch150.tsp;VNS;1;6554;6554;6554;1.7;10.017;;;
../Instances/TSP/kroA150.tsp;VNS;1;26524;26524;26524;2.457;10.344;;;
../Instances/TSP/kroB150.tsp;VNS;1;26130;26130;26130;4.132;10.153;;;
../Instances/TSP/pr152.tsp;VNS;1;73682;73682;73682;8.037;10.336;;;
../Instances/TSP/u159.tsp;VNS;1;42396;42396;42396;6.805;10.018;;;
../Instances/TSP/rat195.tsp;VNS;1;2378;2378;2378;10.766;10.766;;;
../Instances/TSP/d198.tsp;VNS;1;15797;15797;15797;3.261;10.687;;;
../Instances/TSP/kroA200.tsp;VNS;1;29497;29497;29497;6.771;10.218;;;
../Instances/TSP/kroB200.tsp;VNS;1;29445;29445;29445;8.031;10.427;;;
../Instances/TSP/ts225.tsp;VNS;1;126643;126643;126643;10.564;10.564;;;
../Instances/TSP/tsp225.tsp;VNS;1;3989;3989;3989;11.345;11.345;;;
../Instances/TSP/eil51.tsp;BRKGA;1;426;426;426;2.077;10.001;;;
../Instances/TSP/berlin52.tsp;BRKGA;1;7542;7542;7542;0.007;10;;;
../Instances/TSP/st70.tsp;BRKGA;1;675;675;675;0.028;10.003;;;
../Instances/TSP/eil76.tsp;BRKGA;1;538;538;538;0.098;10.003;;;
../Instances/TSP/pr76.tsp;BRKGA;1;108159;108159;108159;0.085;10.004;;;
../Instances/TSP/rat99.tsp;BRKGA;1;1211;1211;1211;0.235;10.002;;;
../Instances/TSP/kroA100.tsp;BRKGA;1;21282;21282;21282;0.063;10.002;;;
../Instances/TSP/kroB100.tsp;BRKGA;1;22199;22199;22199;0.117;10.003;;;
../Instances/TSP/kroC100.tsp;BRKGA;1;20749;20749;20749;0.071;10.004;;;
../Instances/TSP/kroD100.tsp;BRKGA;1;21294;21294;21294;0.021;10.004;;;
../Instances/TSP/kroE100.tsp;BRKGA;1;22068;22068;22068;1.713;10.004;;;
../Instances/TSP/rd100.tsp;BRKGA;1;7910;7910;7910;0.234;10.002;;;
../Instances/TSP/eil101.tsp;BRKGA;1;630;630;630;4.7;10.001;;;
../Instances/TSP/lin105.tsp;BRKGA;1;14379;14379;14379;0.198;10.004;;;
../Instances/TSP/pr107.tsp;BRKGA;1;44303;44303;44303;0.155;10.001;;;
../Instances/TSP/pr124.tsp;BRKGA;1;59030;59030;59030;0.068;10;;;
../Instances/TSP/ch130.tsp;BRKGA;1;6110;6110;6110;0.555;10.005;;;
../Instances/TSP/pr136.tsp;BRKGA;1;96772;96772;96772;1.008;10.009;;;
../Instances/TSP/pr144.tsp;BRKGA;1;58537;58537;58537;0.17;10.002;;;
../Instances/TSP/ch150.tsp;BRKGA;1;6554;6554;6554;0.355;10.011;;;
../Instances/TSP/kroA150.tsp;BRKGA;1;26525;26525;26525;5.86;10.012;;;
../Instances/TSP/kroB150.tsp;BRKGA;1;26132;26132;26132;2.261;10.002;;;
../Instances/TSP/pr152.tsp;BRKGA;1;73682;73682;73682;1.132;10.009;;;
../Instances/TSP/u159.tsp;BRKGA;1;42080;42080;42080;0.608;10.01;;;
../Instances/TSP/rat195.tsp;BRKGA;1;2341;2341;2341;4.122;10.014;;;
../Instances/TSP/d198.tsp;BRKGA;1;15853;15853;15853;1.006;10.002;;;
../Instances/TSP/kroA200.tsp;BRKGA;1;29435;29435;29435;5.959;10.01;;;
../Instances/TSP/kroB200.tsp;BRKGA;1;29438;29438;29438;0.882;10.011;;;
../Instances/TSP/ts225.tsp;BRKGA;1;126643;126643;126643;8.364;10.007;;;
../Instances/TSP/tsp225.tsp;BRKGA;1;3973;3973;3973;2.276;10.035;;;
../Instances/TSP/eil51.tsp;GA;1;426;426;426;1.49;10.002;;;
../Instances/TSP/berlin52.tsp;GA;1;7542;7542;7542;0.005;10.001;;;
../Instances/TSP/st70.tsp;GA;1;675;675;675;0.107;10.001;;;
../Instances/TSP/eil76.tsp;GA;1;538;538;538;0.4;10.004;;;
../Instances/TSP/pr76.tsp;GA;1;108159;108159;108159;0.063;10.006;;;
../Instances/TSP/rat99.tsp;GA;1;1211;1211;1211;0.361;10.003;;;
