Instancia;Metaheuristica;Estrategia;Out;Melhor;Media;_TempoMelhor;TempoMelhor;TempoTotal
1_70_25;SA;1;1365250;1365250;1365250;8.176132;inf;10.036
2_70_25;SA;1;2694645;2694645;2694645;7.935411;inf;10.104
3_70_25;SA;1;685604;685604;685604;9.222767;inf;10.357
4_70_25;SA;1;4043507;4043507;4043507;7.907389;7.907389;10.075
5_70_25;SA;1;2394884;2394884;2394884;7.448677;inf;10.124
6_70_25;SA;1;2539596;2539596;2539596;9.282309;inf;10.149
7_70_25;SA;1;2680092;2680092;2680092;9.249944;9.249944;10.103
8_70_25;SA;1;372379;372379;372379;9.790797;inf;10.144
9_70_25;SA;1;194824;194824;194824;9.441834;inf;10.267
10_70_25;SA;1;2974834;2974834;2974834;8.30075;8.30075;10.259
1_70_50;SA;1;4590536;4590536;4590536;5.297232;5.297232;10.092
2_70_50;SA;1;314476;314476;314476;6.151778;inf;10.248
3_70_50;SA;1;3444569;3444569;3444569;10.197467;inf;10.198
4_70_50;SA;1;5144;5144;5144;6.021911;inf;10.247
5_70_50;SA;1;7130111;7130111;7130111;6.685414;6.685414;10.236
6_70_50;SA;1;1926958;1926958;1926958;9.563207;inf;10.312
7_70_50;SA;1;8082857;8082857;8082857;1.346698;1.346698;10.206
8_70_50;SA;1;5633800;5633800;5633800;6.108608;6.108608;10.095
9_70_50;SA;1;7063797;7063797;7063797;7.110974;7.110974;10.083
10_70_50;SA;1;7108071;7108071;7108071;7.464343;7.464343;10.112
1_70_75;SA;1;9618911;9618911;9618911;4.715379;4.715379;10.322
2_70_75;SA;1;5758834;5758834;5758834;6.793108;inf;10.123
3_70_75;SA;1;7202738;7202738;7202738;9.976006;9.976006;10.11
4_70_75;SA;1;26236;26236;26236;5.364533;inf;10.014
5_70_75;SA;1;1292516;1292516;1292516;7.850889;inf;10.162
6_70_75;SA;1;5780541;5780541;5780541;10.372849;10.372849;10.373
7_70_75;SA;1;17756;17756;17756;6.018253;inf;10.24
8_70_75;SA;1;12718;12718;12718;3.854644;inf;10.319
9_70_75;SA;1;2328543;2328543;2328543;9.254367;inf;10.303
10_70_75;SA;1;6855310;6855310;6855310;5.584833;5.584833;10.225
1_70_100;SA;1;8842455;8842455;8842455;7.326437;7.326437;10.161
2_70_100;SA;1;753690;753690;753690;5.623904;inf;10.022
3_70_100;SA;1;825213;825213;825213;10.31303;inf;10.313
4_70_100;SA;1;2858428;2858428;2858428;4.865648;inf;10.075
5_70_100;SA;1;156321;156321;156321;10.01982;inf;10.02
6_70_100;SA;1;33273;33273;33273;5.587525;inf;10.044
7_70_100;SA;1;2057991;2057991;2057991;9.100375;inf;10.217
8_70_100;SA;1;579641;579641;579641;7.534065;inf;10.096
9_70_100;SA;1;15446837;15446837;15446837;2.570031;2.570031;10.188
10_70_100;SA;1;3108468;3108468;3108468;9.773918;inf;10.042
1_70_25;ILS;1;1280608;1280608;1280608;11.599799;inf;11.634
2_70_25;ILS;1;2598490;2598490;2598490;11.744201;inf;11.744
3_70_25;ILS;1;633021;633021;633021;10.084218;inf;10.087
4_70_25;ILS;1;4046545;4046545;4046545;4.471946;4.471946;10.073
5_70_25;ILS;1;2358294;2358294;2358294;10.517258;inf;10.518
6_70_25;ILS;1;2365052;2365052;2365052;7.093755;inf;14.166
7_70_25;ILS;1;2493189;2493189;2493189;10.434609;inf;10.435
8_70_25;ILS;1;414818;414818;414818;10.239992;inf;10.24
9_70_25;ILS;1;142744;142744;142744;15.223248;inf;15.226
10_70_25;ILS;1;2994891;2994891;2994891;15.389376;15.389376;15.39
1_70_50;ILS;1;4018213;4018213;4018213;9.714148;inf;17.845
2_70_50;ILS;1;258801;258801;258801;13.794579;inf;13.795
3_70_50;ILS;1;2982450;2982450;2982450;11.916813;inf;11.917
4_70_50;ILS;1;2549;2549;2549;7.829854;inf;10.664
5_70_50;ILS;1;7154127;7154127;7154127;5.396564;5.396564;10.275
6_70_50;ILS;1;1541904;1541904;1541904;13.896705;inf;13.897
7_70_50;ILS;1;8082857;8082857;8082857;3.680489;3.680489;10.137
8_70_50;ILS;1;5165731;5165731;5165731;6.363703;inf;10.033
9_70_50;ILS;1;6790289;6790289;6790289;6.311797;6.311797;12.822
10_70_50;ILS;1;6832533;6832533;6832533;10.256821;10.256821;10.257
1_70_75;ILS;1;9212050;9212050;9212050;14.531594;14.531594;14.532
2_70_75;ILS;1;4677572;4677572;4677572;10.643461;inf;10.644
3_70_75;ILS;1;6229598;6229598;6229598;9.587618;inf;12.249
4_70_75;ILS;1;9870;9870;9870;11.87126;inf;11.872
5_70_75;ILS;1;1130823;1130823;1130823;16.572908;inf;16.573
6_70_75;ILS;1;4406790;4406790;4406790;10.86788;inf;10.868
7_70_75;ILS;1;15163;15163;15163;10.247419;inf;10.248
8_70_75;ILS;1;3064;3064;3064;10.709724;inf;10.71
9_70_75;ILS;1;2214651;2214651;2214651;10.878436;inf;10.878
10_70_75;ILS;1;5618243;5618243;5618243;6.542006;inf;13.426
1_70_100;ILS;1;7395110;7395110;7395110;11.703888;inf;11.704
2_70_100;ILS;1;467059;467059;467059;10.5105;inf;10.511
3_70_100;ILS;1;528091;528091;528091;11.674143;inf;11.674
4_70_100;ILS;1;1955628;1955628;1955628;14.992674;inf;14.993
5_70_100;ILS;1;52861;52861;52861;10.533105;inf;10.533
6_70_100;ILS;1;26639;26639;26639;15.12649;inf;15.127
7_70_100;ILS;1;1781366;1781366;1781366;18.602829;inf;18.603
8_70_100;ILS;1;342691;342691;342691;12.92653;inf;12.927
9_70_100;ILS;1;15446837;15446837;15446837;6.538939;6.538939;11.314
10_70_100;ILS;1;2312805;2312805;2312805;8.798998;inf;12.132
1_70_25;VNS;1;1278988;1278988;1278988;12.068959;inf;12.069
2_70_25;VNS;1;2603658;2603658;2603658;5.439145;inf;14.564
3_70_25;VNS;1;636151;636151;636151;15.071364;inf;15.071
4_70_25;VNS;1;4046545;4046545;4046545;6.341665;6.341665;15.72
5_70_25;VNS;1;2456949;2456949;2456949;9.770864;9.770864;11.352
6_70_25;VNS;1;2252917;2252917;2252917;3.872329;inf;11.461
7_70_25;VNS;1;2495130;2495130;2495130;5.267443;inf;11.52
8_70_25;VNS;1;360118;360118;360118;14.12643;inf;14.127
9_70_25;VNS;1;205392;205392;205392;22.786533;inf;22.787
